,lookback_4_top_3
2018-01-15,0.003996876121325534
2018-01-22,0.018874343020317267
2018-01-29,-0.043722829577168804
2018-02-05,-0.060500286398163794
2018-02-12,0.04205580246810786
2018-02-19,0.010445291710437501
2018-02-26,-0.019724568165329366
2018-03-05,0.03617437850353217
2018-03-12,-0.019121501260585802
2018-03-19,-0.047422306925138234
2018-03-26,0.018428055040609532
2018-04-02,-0.012113374963784932
2018-04-09,0.035465488151463435
2018-04-16,0.013367848308259966
2018-04-23,-0.0013984004880997333
2018-04-30,0.0037128394602350674
2018-05-07,0.036241411206957806
2018-05-14,-0.002479426233250167
2018-05-21,-0.011997443546295635
2018-05-28,0.010020240126890232
2018-06-04,0.012313905048626466
2018-06-11,-0.0188888559475718
2018-06-18,0.0001445585658944662
2018-06-25,-0.008668405564106235
2018-07-02,0.007446938471424199
2018-07-09,0.013415869685091467
2018-07-16,0.0012235970696298007
2018-07-23,0.0114224948329584
2018-07-30,-0.002128619278384833
2018-08-06,-0.00013538863764783336
2018-08-13,-0.008934244555036367
2018-08-20,0.014837782322030367
2018-08-27,0.006538651034252434
2018-09-03,-0.0162502430782557
2018-09-10,0.011669432006855801
2018-09-17,0.008324683342115599
2018-09-24,-0.0025246586182965333
2018-10-01,0.0037588725999983005
2018-10-08,-0.049294236472873974
2018-10-15,-0.0075445508619496
2018-10-22,-0.050297581747784294
2018-10-29,0.0233767688400153
2018-11-05,0.019322466241885036
2018-11-12,-0.0182590349605765
2018-11-19,-0.04623726368122771
2018-11-26,0.0439893096160534
2018-12-03,-0.0496613678264024
2018-12-10,-0.022005192298345768
2018-12-17,-0.0797652340603377
2018-12-24,0.0364947957339806
2018-12-31,0.026486955047011432
2019-01-07,0.026269190730196665
2019-01-14,0.0397406329684333
2019-01-21,-0.0017930346895930003
2019-01-28,0.014764184711372932
2019-02-04,-0.0082795496803905
2019-02-11,0.0347016930366835
2019-02-18,0.003446960918800967
2019-02-25,0.0096981662614081
2019-03-04,-0.02893261242971527
2019-03-11,0.03205383262258013
2019-03-18,-0.009529699073082133
2019-03-25,0.011267957572071866
2019-04-01,0.0276992051310677
2019-04-08,0.010428002092511865
2019-04-15,0.005014096895326966
2019-04-22,0.00274662609916
2019-04-29,-0.0042758915649178
2019-05-06,-0.019290366365983167
2019-05-13,-0.012339792387435232
2019-05-20,-0.020583128723775466
2019-05-27,-0.032377614087398504
2019-06-03,0.048342694169325566
2019-06-10,-0.00033326497681896664
2019-06-17,0.02336769543563183
2019-06-24,0.01023627826746103
2019-07-01,0.0116777663791601
2019-07-08,0.013987986563441366
2019-07-15,-0.015011510017805
2019-07-22,0.015150160818582399
2019-07-29,-0.037893657108112905
2019-08-05,-0.014728933307302966
2019-08-12,-0.019984661774813003
2019-08-19,-0.016819551415222934
2019-08-26,0.029720609437130965
2019-09-02,0.0236841771108052
2019-09-09,0.0229407145417872
2019-09-16,-0.007401871068570133
2019-09-23,-0.005764708931967733
2019-09-30,-0.016224379547273033
2019-10-07,0.0094902263514177
2019-10-14,-0.0021036291947191
2019-10-21,0.029119510497983
2019-10-28,0.011277361062639699
2019-11-04,0.021878747409226833
2019-11-11,-2.0859680199166477e-05
2019-11-18,-0.0019657378611306333
2019-11-25,0.0033691932958296324
2019-12-02,0.005507254126427066
2019-12-09,0.0137068183251413
2019-12-16,0.010916016887791634
2019-12-23,0.012304797057044266
2019-12-30,-0.005574626566020534
2020-01-06,0.013220406863777132
2020-01-13,0.009633522738094135
2020-01-20,-0.0199067409523191
2020-01-27,-0.030622383629153302
2020-02-03,0.02929448684580097
2020-02-10,0.013990440574136032
2020-02-17,-0.0152033395711855
2020-02-24,-0.13700144190672528
2020-03-02,-0.03139673603979714
2020-03-09,-0.1311744110524372
2020-03-16,-0.17597839117166983
2020-03-23,0.10231942568861756
2020-03-30,0.0018827063449850339
2020-04-06,0.14399149554383903
2020-04-13,0.0021628338301055323
2020-04-20,-0.005451337133702599
2020-04-27,0.01776482460847203
2020-05-04,0.05276591888440926
2020-05-11,-0.04713211048492033
2020-05-18,0.047608577504509135
2020-05-25,0.030196478894507498
2020-06-01,0.1042881095664117
2020-06-08,-0.0745068912886749
2020-06-15,0.009494917270485334
2020-06-22,-0.04752002861922561
2020-06-29,0.03306696252467367
2020-07-06,-5.997551817783081e-05
2020-07-13,0.013892957268608267
2020-07-20,0.006817629707570967
2020-07-27,0.0001232441756725336
2020-08-03,0.031866530664635635
2020-08-10,0.014027775704390233
2020-08-17,-0.018486246843137433
2020-08-24,0.0329436549209327
2020-08-31,-0.0289222911051831
2020-09-07,-0.0437145880312931
2020-09-14,0.006170758883451535
2020-09-21,-0.043588130127169
2020-09-28,0.02786823842471467
2020-10-05,0.044785122947512135
2020-10-12,-0.001737102579821267
2020-10-19,-0.0036021136491553338
2020-10-26,-0.061514400693951164
2020-11-02,0.04062998427480333
2020-11-09,0.028108088389480035
2020-11-16,-0.0006267600310492002
2020-11-23,0.0327224372866752
2020-11-30,0.020305759220423034
2020-12-07,-0.006563031848740467
2020-12-14,0.018813561946335464
2020-12-21,0.0030912534350889006
2020-12-28,0.0171838091220574
2021-01-04,0.03478588594391754
2021-01-11,0.005014120911649565
2021-01-18,0.017495499220729533
2021-01-25,-0.047429264315524904
2021-02-01,0.05988542085176826
2021-02-08,0.019627488098624465
2021-02-15,0.0037887400533610665
2021-02-22,-0.0155577754390919
2021-03-01,0.0387163576963407
2021-03-08,0.020743691784142333
2021-03-15,-0.031050932278013737
2021-03-22,0.006737009405553399
2021-03-29,0.0124715818787123
