Date,XLB,XLC,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-06-25,50.31269454956055,46.382511138916016,23.202619552612305,63.502784729003906,64.8007583618164,42.717159271240234,41.6313591003418,74.06822204589844,102.11444091796875
2018-07-02,50.641937255859375,47.5437126159668,23.272432327270508,63.972679138183594,66.28388214111328,43.28916931152344,42.60083770751953,76.33126068115234,103.04869842529297
2018-07-09,50.75457000732422,48.405242919921875,23.542940139770508,65.38224029541016,67.66438293457031,43.72023391723633,42.09608840942383,77.5648422241211,105.18817138671875
2018-07-16,50.50330352783203,47.63735580444336,24.049049377441406,65.99398803710938,67.67375946044922,43.81970977783203,41.8957633972168,76.99686431884766,104.77709197998047
2018-07-23,51.37838363647461,45.80190658569336,24.546438217163086,67.38582611083984,67.02079010009766,44.25077819824219,42.17619705200195,78.06182098388672,104.30059814453125
2018-07-30,51.369720458984375,45.80190658569336,24.537708282470703,67.2439956665039,67.83233642578125,45.00514221191406,42.70500564575195,79.70365142822266,104.50616455078125
2018-08-06,50.841209411621094,46.13903045654297,24.40682029724121,66.55249786376953,68.12149047851562,44.134727478027344,42.45661926269531,79.54389953613281,105.30960083007812
2018-08-13,50.62459945678711,45.52096176147461,24.581342697143555,67.62518310546875,68.23341369628906,45.61030578613281,43.68248748779297,80.83961486816406,105.1134262084961
2018-08-20,51.231109619140625,46.298221588134766,24.64242172241211,68.01529693603516,69.2874755859375,44.81448745727539,43.04952621459961,81.5495834350586,107.33692932128906
2018-08-27,51.35239791870117,46.054744720458984,24.720956802368164,68.3521728515625,70.51875305175781,44.582359313964844,42.84121322631836,82.33943939208984,109.26152801513672
2018-09-03,51.101139068603516,44.65007400512695,24.720956802368164,68.78657531738281,68.63452911376953,45.07145690917969,43.34598159790039,82.13533020019531,107.98157501220703
2018-09-10,51.47369384765625,45.296226501464844,24.633691787719727,70.09867858886719,69.90311431884766,45.39476776123047,43.5062141418457,83.00504302978516,109.23348999023438
2018-09-17,52.47007369995117,45.464778900146484,25.078725814819336,70.92313385009766,69.59526824951172,45.61030578613281,42.5127067565918,83.66177368164062,109.23348999023438
2018-09-24,50.430397033691406,46.01039123535156,24.173276901245117,69.84044647216797,70.50516510009766,45.02248001098633,42.563453674316406,84.77191925048828,109.84110260009766
2018-10-01,50.17793655395508,44.902381896972656,24.54139518737793,70.31256866455078,68.90469360351562,44.61342239379883,43.35569381713867,84.0057144165039,105.1745834350586
2018-10-08,46.80025100708008,43.54084396362305,23.165321350097656,65.83175659179688,66.29338836669922,43.7285041809082,42.80598449707031,81.13693237304688,101.65126037597656
2018-10-15,46.225685119628906,43.86949157714844,23.375680923461914,65.19034576416016,65.52590942382812,45.65696334838867,44.11561965942383,81.52896118164062,99.6459732055664
2018-10-22,44.27568817138672,41.87884521484375,22.13983726501465,61.55580520629883,63.72888946533203,44.93901062011719,43.145511627197266,77.88504791259766,96.90042114257812
2018-10-29,46.974361419677734,43.043190002441406,23.12150001525879,63.23943328857422,64.33724975585938,46.00760269165039,42.96767044067383,79.52435302734375,101.17337799072266
2018-11-05,47.862308502197266,42.60185241699219,23.770095825195312,64.51332092285156,65.36678314208984,47.435150146484375,44.35814666748047,82.8118667602539,103.09431457519531
2018-11-12,48.08865737915039,42.141761779785156,23.480854034423828,64.13028717041016,63.841190338134766,46.80068588256836,44.36623001098633,82.0011215209961,99.67408752441406
2018-11-19,46.40851974487305,40.27317428588867,22.788433074951172,62.11701583862305,59.97572326660156,45.740455627441406,43.74374771118164,79.86289978027344,95.59790802001953
2018-11-26,47.540218353271484,42.26382827758789,23.63861846923828,64.6202163696289,63.588497161865234,46.96764373779297,44.94021224975586,85.41340637207031,101.19212341308594
2018-12-03,45.189762115478516,40.75205993652344,22.008373260498047,60.60261917114258,60.4624137878418,45.6819953918457,45.6435432434082,80.68254852294922,96.8629379272461
2018-12-10,44.67613220214844,40.949241638183594,21.24582862854004,59.729610443115234,60.434329986572266,45.498348236083984,45.934574127197266,79.257080078125,95.8884048461914
2018-12-17,42.30826187133789,37.38109588623047,19.97494125366211,55.45366668701172,55.40828323364258,41.891876220703125,43.50122833251953,73.66203308105469,87.85787200927734
2018-12-24,43.89776611328125,38.831085205078125,20.805049896240234,57.158695220947266,57.716796875,42.603790283203125,43.071720123291016,76.29647827148438,92.15326690673828
2018-12-31,44.93168640136719,40.41371154785156,21.395944595336914,58.3956184387207,57.81079864501953,43.18509292602539,43.022796630859375,76.93190002441406,94.8531265258789
2019-01-07,45.799129486083984,41.4970703125,21.60761070251465,60.8336296081543,59.728431701660156,43.496803283691406,43.39783477783203,78.58760070800781,98.3808364868164
2019-01-14,46.885616302490234,42.36375427246094,22.930522918701172,62.913116455078125,61.42985153198242,44.1876220703125,43.324462890625,80.61918640136719,100.47865295410156
2019-01-21,46.543914794921875,42.01519775390625,22.930522918701172,62.8055534362793,61.97505187988281,43.5810432434082,43.471214294433594,79.58101654052734,100.68562316894531
2019-01-28,46.885616302490234,43.30579376220703,22.974624633789062,64.42790222167969,62.67066192626953,44.83632278442383,44.47401428222656,81.21881866455078,100.83612823486328
2019-02-04,46.1759033203125,43.079708099365234,22.639488220214844,65.49452209472656,63.911476135253906,45.31654357910156,45.39529037475586,80.49390411376953,100.7796859741211
2019-02-11,47.73554229736328,43.503623962402344,23.30976104736328,67.8428726196289,65.44371795654297,45.7883186340332,45.41974639892578,83.0982666015625,103.5360107421875
2019-02-18,48.874603271484375,43.40000534057617,23.336219787597656,68.30900573730469,66.40253448486328,45.855716705322266,46.512237548828125,82.82978057861328,104.52378845214844
